Open,Close,High,Low,Adj_Close,Volume,Time
0.00,93.53,94.18,92.37,93.53,93.53,"Jan 06, 1976"
0.00,92.58,92.84,90.85,92.58,92.58,"Jan 05, 1976"
0.00,90.90,91.18,89.81,90.90,90.90,"Jan 02, 1976"
0.00,90.19,90.75,89.17,90.19,90.19,"Dec 31, 1975"
0.00,89.77,90.55,89.20,89.77,89.77,"Dec 30, 1975"
0.00,90.13,91.09,89.63,90.13,90.13,"Dec 29, 1975"
0.00,90.25,90.45,89.25,90.25,90.25,"Dec 26, 1975"
0.00,89.46,89.84,88.73,89.46,89.46,"Dec 24, 1975"
0.00,88.73,89.23,87.64,88.73,88.73,"Dec 23, 1975"
0.00,88.14,89.13,87.74,88.14,88.14,"Dec 22, 1975"
0.00,88.80,89.81,88.39,88.80,88.80,"Dec 19, 1975"
0.00,89.43,90.09,88.62,89.43,89.43,"Dec 18, 1975"
0.00,89.15,89.80,88.46,89.15,89.15,"Dec 17, 1975"
0.00,88.93,89.49,87.78,88.93,88.93,"Dec 16, 1975"
0.00,88.09,88.64,87.32,88.09,88.09,"Dec 15, 1975"
0.00,87.83,88.22,87.05,87.83,87.83,"Dec 12, 1975"
0.00,87.80,88.79,87.41,87.80,87.80,"Dec 11, 1975"
0.00,88.08,88.39,86.91,88.08,88.08,"Dec 10, 1975"
0.00,87.30,87.80,86.16,87.30,87.30,"Dec 09, 1975"
0.00,87.07,87.75,86.15,87.07,87.07,"Dec 08, 1975"
0.00,86.82,88.38,86.54,86.82,86.82,"Dec 05, 1975"
0.00,87.84,88.39,86.68,87.84,87.84,"Dec 04, 1975"
0.00,87.60,88.83,87.08,87.60,87.60,"Dec 03, 1975"
0.00,89.33,90.81,89.08,89.33,89.33,"Dec 02, 1975"
0.00,90.67,91.90,90.33,90.67,90.67,"Dec 01, 1975"
0.00,91.24,91.74,90.44,91.24,91.24,"Nov 28, 1975"
0.00,90.94,91.58,90.17,90.94,90.94,"Nov 26, 1975"
0.00,90.71,91.10,89.66,90.71,90.71,"Nov 25, 1975"
0.00,89.70,90.17,88.65,89.70,89.70,"Nov 24, 1975"
0.00,89.53,90.23,88.79,89.53,89.53,"Nov 21, 1975"
0.00,89.64,90.68,89.09,89.64,89.64,"Nov 20, 1975"
0.00,89.98,91.28,89.47,89.98,89.98,"Nov 19, 1975"
0.00,91.00,92.30,90.60,91.00,91.00,"Nov 18, 1975"
0.00,91.46,91.99,90.50,91.46,91.46,"Nov 17, 1975"
0.00,90.97,91.59,90.19,90.97,90.97,"Nov 14, 1975"
0.00,91.04,92.33,90.56,91.04,91.04,"Nov 13, 1975"
0.00,91.19,91.63,89.80,91.19,91.19,"Nov 12, 1975"
0.00,89.87,90.47,89.04,89.87,89.87,"Nov 11, 1975"
0.00,89.34,89.98,88.35,89.34,89.34,"Nov 10, 1975"
0.00,89.33,90.18,88.67,89.33,89.33,"Nov 07, 1975"
0.00,89.55,90.15,88.16,89.55,89.55,"Nov 06, 1975"
0.00,89.15,90.08,88.32,89.15,89.15,"Nov 05, 1975"
0.00,88.51,89.03,87.63,88.51,88.51,"Nov 04, 1975"
0.00,88.09,89.21,87.78,88.09,88.09,"Nov 03, 1975"
0.00,89.04,89.80,88.35,89.04,89.04,"Oct 31, 1975"
0.00,89.31,90.20,88.70,89.31,89.31,"Oct 30, 1975"
0.00,89.39,90.61,88.89,89.39,89.39,"Oct 29, 1975"
0.00,90.51,91.01,89.40,90.51,90.51,"Oct 28, 1975"
0.00,89.73,90.40,88.85,89.73,89.73,"Oct 27, 1975"
0.00,89.83,91.52,89.46,89.83,89.83,"Oct 24, 1975"
0.00,91.24,91.75,90.09,91.24,91.24,"Oct 23, 1975"
0.00,90.71,91.38,89.77,90.71,90.71,"Oct 22, 1975"
0.00,90.56,91.43,89.79,90.56,90.56,"Oct 21, 1975"
0.00,89.82,90.14,88.43,89.82,89.82,"Oct 20, 1975"
0.00,88.86,89.87,88.08,88.86,88.86,"Oct 17, 1975"
0.00,89.37,90.73,88.90,89.37,89.37,"Oct 16, 1975"
0.00,89.23,90.07,88.50,89.23,89.23,"Oct 15, 1975"
0.00,89.28,90.80,88.81,89.28,89.28,"Oct 14, 1975"
0.00,89.46,89.67,87.73,89.46,89.46,"Oct 13, 1975"
0.00,88.21,89.17,87.44,88.21,88.21,"Oct 10, 1975"
0.00,88.37,89.42,87.60,88.37,88.37,"Oct 09, 1975"
0.00,87.94,88.46,86.34,87.94,87.94,"Oct 08, 1975"
0.00,86.77,87.32,85.56,86.77,86.77,"Oct 07, 1975"
0.00,86.88,87.64,85.98,86.88,86.88,"Oct 06, 1975"
0.00,85.95,86.21,83.88,85.95,85.95,"Oct 03, 1975"
0.00,83.82,84.33,82.82,83.82,83.82,"Oct 02, 1975"
0.00,82.93,85.45,82.57,82.93,82.93,"Oct 01, 1975"
0.00,83.87,85.01,83.44,83.87,83.87,"Sep 30, 1975"
0.00,85.03,86.38,84.74,85.03,85.03,"Sep 29, 1975"
0.00,86.19,86.86,85.13,86.19,86.19,"Sep 26, 1975"
0.00,85.64,86.41,84.79,85.64,85.64,"Sep 25, 1975"
0.00,85.74,86.70,85.03,85.74,85.74,"Sep 24, 1975"
0.00,84.94,85.51,83.80,84.94,84.94,"Sep 23, 1975"
0.00,85.07,86.70,84.70,85.07,85.07,"Sep 22, 1975"
0.00,85.88,86.39,84.26,85.88,85.88,"Sep 19, 1975"
0.00,84.06,84.34,82.23,84.06,84.06,"Sep 18, 1975"
0.00,82.37,82.93,81.57,82.37,82.37,"Sep 17, 1975"
0.00,82.09,83.43,81.79,82.09,82.09,"Sep 16, 1975"
0.00,82.88,83.49,82.29,82.88,82.88,"Sep 15, 1975"
0.00,83.30,84.47,82.84,83.30,83.30,"Sep 12, 1975"
0.00,83.45,84.30,82.88,83.45,83.45,"Sep 11, 1975"
0.00,83.79,84.59,83.00,83.79,83.79,"Sep 10, 1975"
0.00,84.60,86.73,84.37,84.60,84.60,"Sep 09, 1975"
0.00,85.89,86.31,84.89,85.89,85.89,"Sep 08, 1975"
0.00,85.62,86.49,85.19,85.62,85.62,"Sep 05, 1975"
0.00,86.20,86.91,85.29,86.20,86.20,"Sep 04, 1975"
0.00,86.03,86.38,84.62,86.03,86.03,"Sep 03, 1975"
0.00,85.48,87.42,85.21,85.48,85.48,"Sep 02, 1975"
0.00,86.88,87.73,86.10,86.88,86.88,"Aug 29, 1975"
0.00,86.40,86.64,84.68,86.40,86.40,"Aug 28, 1975"
0.00,84.43,84.79,83.35,84.43,84.43,"Aug 27, 1975"
0.00,83.96,85.40,83.65,83.96,83.96,"Aug 26, 1975"
0.00,85.06,85.58,84.06,85.06,85.06,"Aug 25, 1975"
0.00,84.28,84.61,82.79,84.28,84.28,"Aug 22, 1975"
0.00,83.07,84.15,82.21,83.07,83.07,"Aug 21, 1975"
0.00,83.22,84.78,82.76,83.22,83.22,"Aug 20, 1975"
0.00,84.95,86.47,84.66,84.95,84.95,"Aug 19, 1975"
0.00,86.20,87.21,85.76,86.20,86.20,"Aug 18, 1975"
0.00,86.36,86.76,85.33,86.36,86.36,"Aug 15, 1975"
0.00,85.60,86.34,85.02,85.60,85.60,"Aug 14, 1975"
0.00,85.97,87.41,85.61,85.97,85.97,"Aug 13, 1975"
0.00,87.12,88.17,86.49,87.12,87.12,"Aug 12, 1975"
0.00,86.55,86.89,85.34,86.55,86.55,"Aug 11, 1975"
0.00,86.02,87.00,85.52,86.02,86.02,"Aug 08, 1975"
0.00,86.30,87.24,85.69,86.30,86.30,"Aug 07, 1975"
0.00,86.25,87.04,85.34,86.25,86.25,"Aug 06, 1975"
0.00,86.23,87.81,85.89,86.23,86.23,"Aug 05, 1975"
0.00,87.15,88.17,86.68,87.15,87.15,"Aug 04, 1975"
0.00,87.99,89.04,87.46,87.99,87.99,"Aug 01, 1975"
0.00,88.75,90.07,88.31,88.75,88.75,"Jul 31, 1975"
0.00,88.83,89.49,87.68,88.83,88.83,"Jul 30, 1975"
0.00,88.19,89.91,87.71,88.19,88.19,"Jul 29, 1975"
